Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
India,IND,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,96.12032,95.71761,96.98764,97.73768,..,..,..,..,..,..,..,..,..,..,..
India,IND,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,97.48202,97.42634,97.91645,98.56772,..,..,..,..,..,..,..,..,..,..,..
India,IND,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,94.90825,94.19646,96.1601,96.99684,..,..,..,..,..,..,..,..,..,..,..
India,IND,"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,..,..,..,16.0733699798584,..,..,..,..,..,..,11.7866178975954,10.995777890093,11.0924029148357,14.9642012380646,15.6142664890329
India,IND,"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,..,..,..,12.3137397766113,..,..,..,..,..,..,9.82938511676733,9.25031452024571,9.49702498992315,13.7303700510849,14.4571714057652
India,IND,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,51055937863.9741,55656176269.5649,55630271996.3794,56474927954.145,62062473601.1539,64038815632.8816,69236555820.6106,80782233054.7817,82359026084.9171,86372858748.975,81058157535.5952,96307365993.7959,..,..,..
India,IND,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,..,..,..
India,IND,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,26.20631409,28.87308502,27.98948097,23.0712204,23.66404152,25.64012909,26.83841324,32.94804382,34.29247284,35.0661087,36.25336838,40.39885712,39.10879135,..,..
India,IND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.33625913,3.24634218,3.32935286,3.74944186,3.61956549,3.59565973,3.50430417,2.93597651,2.8584938,2.95299792,3.34146094,3.34680939,3.3058846,..,..
India,IND,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,68.809,69.28,69.735,70.151,70.567,70.94,71.297,71.632,71.963,72.287,71.938,68.835,73.271,73.598,..
